result_id,athlete_id,competition_name,competition_level,event,date,position,time_seconds,season_best,personal_best,qualification_status
CR001628,A0215,Paralympic Trials,National,100m,2024-06-14,1,138.62,False,False,Qualified
CR001629,A0215,Paralympic Trials,National,800m,2024-06-16,5,141.2,False,False,Participation
CR001630,A0216,Kalahari Sprint Classic,Regional,200m,2020-06-02,8,74.11,False,True,Participation
CR001631,A0216,Kalahari Sprint Classic,Regional,400m,2022-01-09,3,73.96,False,False,Finalist
CR001632,A0216,Regional Open,Regional,400m,2023-10-07,7,71.53,True,False,Participation
CR001633,A0216,Kalahari Sprint Classic,Regional,400m,2023-11-01,3,74.57,False,False,Finalist
CR001634,A0216,Regional Open,Regional,400m,2024-12-30,7,73.78,False,False,Finalist
CR001635,A0217,Independence Meet,Local,200m,2020-05-11,3,29.99,False,False,Qualified
CR001636,A0217,Regional Open,Regional,200m,2020-06-15,1,30.43,False,False,Finalist
CR001637,A0217,Regional Open,Regional,200m,2021-03-24,4,30.09,False,False,Participation
CR001638,A0217,Regional Open,Regional,200m,2021-09-23,2,29.18,False,False,Qualified
CR001639,A0217,Paralympic Trials,National,200m,2022-04-17,1,29.65,False,False,Participation
CR001640,A0218,Regional Open,Regional,800m,2020-01-26,4,14.81,True,False,Finalist
CR001641,A0218,Paralympic Trials,National,800m,2021-05-04,5,15.21,False,False,Finalist
CR001642,A0218,Independence Meet,Local,100m,2022-10-21,2,14.49,False,False,Participation
CR001643,A0218,National Championships,National,100m,2023-12-11,4,14.49,False,False,Participation
CR001644,A0218,Masa Cup,Local,100m,2024-04-08,4,14.96,False,False,Participation
CR001645,A0218,Masa Cup,Local,100m,2024-07-06,3,15.09,False,False,Finalist
CR001646,A0219,Masa Cup,Local,100m,2021-07-27,6,16.91,False,False,Participation
CR001647,A0219,Regional Open,Regional,100m,2021-12-07,3,17.0,False,True,Participation
CR001648,A0219,Masa Cup,Local,100m,2022-12-10,6,16.72,False,True,Participation
CR001649,A0219,Regional Open,Regional,100m,2022-12-28,5,17.57,False,False,Qualified
CR001650,A0219,Regional Open,Regional,100m,2023-02-01,3,17.2,False,False,Qualified
CR001651,A0219,Regional Open,Regional,100m,2024-02-01,4,16.77,False,False,Participation
CR001652,A0219,Regional Open,Regional,100m,2024-07-15,2,16.86,False,False,Qualified
CR001653,A0220,Continental Series,Continental,100m,2020-02-08,2,15.2,False,False,Participation
CR001654,A0220,Kalahari Sprint Classic,Regional,100m,2021-05-14,3,14.92,True,False,Qualified
CR001655,A0220,Kalahari Sprint Classic,Regional,100m,2021-11-29,1,15.07,True,False,Finalist
CR001656,A0220,Paralympic Trials,National,100m,2021-12-16,5,14.26,False,False,Finalist
CR001657,A0220,National Championships,National,1500m,2022-05-24,3,14.25,False,False,Participation
CR001658,A0220,National Championships,National,100m,2023-05-31,2,14.48,False,True,Finalist
CR001659,A0220,Botswana Nationals,National,100m,2024-03-26,4,15.06,False,False,Participation
CR001660,A0220,Paralympic Trials,National,100m,2024-07-27,1,15.0,False,False,Participation
CR001661,A0220,National Championships,National,100m,2024-10-18,1,14.27,True,False,Participation
CR001662,A0220,Kalahari Sprint Classic,Regional,100m,2024-12-10,1,14.56,False,True,Qualified
CR001663,A0221,Masa Cup,Local,100m,2021-04-15,4,16.13,False,False,Participation
CR001664,A0221,Independence Meet,Local,100m,2021-06-09,6,16.41,False,False,Participation
CR001665,A0221,Kalahari Sprint Classic,Regional,100m,2021-08-29,4,16.04,False,True,Participation
CR001666,A0221,Masa Cup,Local,100m,2022-03-20,8,16.78,False,False,Participation
CR001667,A0221,Masa Cup,Local,100m,2022-06-24,7,16.34,False,False,Participation
CR001668,A0221,Masa Cup,Local,100m,2022-07-13,5,16.75,True,False,Finalist
CR001669,A0221,Regional Open,Regional,100m,2024-07-12,3,16.07,False,False,Participation
CR001670,A0221,Regional Open,Regional,1500m,2024-12-31,4,16.39,False,True,Participation
CR001671,A0222,Regional Open,Regional,200m,2022-11-26,2,34.01,False,False,Participation
CR001672,A0222,Regional Open,Regional,200m,2023-01-21,6,33.63,False,False,Qualified
CR001673,A0222,Kalahari Sprint Classic,Regional,200m,2023-07-14,2,33.15,False,True,Qualified
CR001674,A0222,Regional Open,Regional,200m,2023-09-17,3,33.74,False,False,Finalist
CR001675,A0223,Masa Cup,Local,200m,2020-01-20,4,29.92,False,False,Finalist
CR001676,A0223,Regional Open,Regional,200m,2020-12-07,4,29.69,False,False,Participation
CR001677,A0223,Kalahari Sprint Classic,Regional,1500m,2021-04-14,6,28.58,True,False,Participation
CR001678,A0223,Masa Cup,Local,200m,2022-09-21,3,30.3,False,False,Qualified
CR001679,A0223,Kalahari Sprint Classic,Regional,200m,2022-11-14,2,30.47,False,False,Participation
CR001680,A0223,Paralympic Trials,National,1500m,2024-12-12,2,30.33,False,False,Finalist
CR001681,A0223,Botswana Nationals,National,1500m,2024-12-25,2,30.06,False,False,Qualified
CR001682,A0224,Kalahari Sprint Classic,Regional,100m,2021-05-14,4,17.87,False,False,Qualified
CR001683,A0224,Regional Open,Regional,100m,2021-11-04,4,17.51,True,False,Qualified
CR001684,A0224,Independence Meet,Local,100m,2021-11-15,2,17.33,False,False,Qualified
CR001685,A0224,Regional Open,Regional,200m,2024-03-27,3,17.39,True,False,Qualified
CR001686,A0225,Independence Meet,Local,400m,2022-10-18,7,66.1,False,False,Qualified
CR001687,A0225,Kalahari Sprint Classic,Regional,400m,2023-01-23,5,68.05,False,False,Finalist
CR001688,A0225,Regional Open,Regional,400m,2023-02-06,2,66.21,False,False,Participation
CR001689,A0225,Kalahari Sprint Classic,Regional,400m,2023-08-14,5,66.5,False,False,Participation
CR001690,A0225,Kalahari Sprint Classic,Regional,400m,2023-08-21,1,69.17,False,False,Qualified
CR001691,A0225,National Championships,National,400m,2023-11-01,3,66.75,True,False,Participation
CR001692,A0225,Masa Cup,Local,400m,2024-06-24,5,65.27,False,False,Qualified
CR001693,A0225,Regional Open,Regional,400m,2024-07-04,6,67.81,False,False,Finalist
CR001694,A0225,Masa Cup,Local,400m,2024-09-20,6,66.76,False,False,Participation
CR001695,A0226,National Championships,National,200m,2020-04-30,5,29.92,False,False,Qualified
CR001696,A0226,National Championships,National,200m,2020-08-31,3,29.99,False,False,Finalist
CR001697,A0226,Southern Africa Games,Continental,1500m,2020-09-01,1,31.28,False,False,Participation
CR001698,A0226,Regional Open,Regional,200m,2020-11-23,4,31.27,False,False,Participation
CR001699,A0226,Paralympic Trials,National,200m,2021-03-18,1,30.05,False,False,Finalist
CR001700,A0226,Kalahari Sprint Classic,Regional,200m,2022-05-06,2,29.93,False,False,Finalist
CR001701,A0226,Botswana Nationals,National,200m,2023-03-31,8,30.49,False,False,Participation
CR001702,A0226,Botswana Nationals,National,1500m,2023-04-25,6,30.35,True,False,Participation
CR001703,A0226,Continental Series,Continental,1500m,2024-05-17,7,31.06,False,False,Qualified
CR001704,A0226,Continental Series,Continental,1500m,2024-09-12,8,30.07,True,False,Finalist
CR001705,A0227,Regional Open,Regional,100m,2020-09-22,2,14.79,False,False,Participation
CR001706,A0227,Masa Cup,Local,100m,2021-06-19,8,14.64,False,False,Participation
CR001707,A0227,Independence Meet,Local,100m,2022-01-08,2,14.23,False,False,Qualified
CR001708,A0227,National Championships,National,1500m,2022-05-04,4,14.38,False,False,Participation
CR001709,A0227,Masa Cup,Local,100m,2022-08-07,2,14.52,False,False,Participation
CR001710,A0227,Independence Meet,Local,1500m,2022-10-17,5,14.44,False,False,Qualified
CR001711,A0227,Masa Cup,Local,100m,2022-11-18,4,14.34,False,False,Participation
CR001712,A0227,Masa Cup,Local,1500m,2024-08-08,4,14.76,True,False,Qualified
CR001713,A0228,Botswana Nationals,National,200m,2020-03-07,4,30.99,False,False,Finalist
CR001714,A0228,Paralympic Trials,National,200m,2020-04-03,4,30.55,False,True,Finalist
CR001715,A0228,Southern Africa Games,Continental,200m,2020-09-21,3,30.16,False,False,Participation
CR001716,A0228,National Championships,National,1500m,2021-10-22,8,30.25,False,False,Participation
CR001717,A0228,Paralympic Trials,National,200m,2022-01-31,1,29.55,True,False,Participation
CR001718,A0228,Botswana Nationals,National,200m,2023-05-02,3,30.86,True,False,Qualified
CR001719,A0228,Botswana Nationals,National,200m,2023-08-29,6,29.33,False,False,Participation
CR001720,A0228,Regional Open,Regional,1500m,2024-02-18,3,30.89,False,False,Participation
CR001721,A0229,Paralympic Trials,National,800m,2020-07-07,4,29.26,False,False,Participation
CR001722,A0229,Botswana Nationals,National,800m,2020-08-28,5,29.39,False,False,Finalist
CR001723,A0229,Masa Cup,Local,200m,2021-04-02,2,29.15,False,False,Participation
CR001724,A0229,Paralympic Trials,National,200m,2021-04-08,2,28.91,False,True,Participation
CR001725,A0229,Paralympic Trials,National,200m,2022-12-22,1,29.5,True,False,Participation
CR001726,A0229,Kalahari Sprint Classic,Regional,200m,2022-12-24,7,29.81,False,False,Participation
CR001727,A0229,Independence Meet,Local,800m,2023-08-07,1,28.81,False,False,Participation
CR001728,A0229,Independence Meet,Local,800m,2023-09-04,2,29.46,False,False,Participation
CR001729,A0229,Regional Open,Regional,200m,2023-11-12,2,29.35,False,True,Participation
CR001730,A0230,National Championships,National,200m,2020-12-09,2,30.96,True,False,Qualified
CR001731,A0230,Regional Open,Regional,200m,2020-12-18,8,31.6,False,False,Participation
CR001732,A0230,Regional Open,Regional,200m,2022-09-01,3,31.06,False,False,Participation
CR001733,A0230,Kalahari Sprint Classic,Regional,200m,2023-08-21,5,31.34,False,False,Participation
CR001734,A0230,Regional Open,Regional,800m,2024-09-22,1,30.73,False,True,Participation
CR001735,A0231,Independence Meet,Local,100m,2020-01-23,1,15.01,True,False,Qualified
CR001736,A0231,Kalahari Sprint Classic,Regional,100m,2020-08-31,4,15.63,False,False,Participation
CR001737,A0231,Botswana Nationals,National,100m,2022-07-28,4,15.12,False,True,Qualified
CR001738,A0231,Masa Cup,Local,1500m,2022-10-02,4,15.59,False,False,Qualified
CR001739,A0231,Regional Open,Regional,100m,2023-10-04,4,15.23,False,False,Participation
CR001740,A0231,Masa Cup,Local,100m,2024-05-12,6,14.92,False,False,Qualified
CR001741,A0232,Independence Meet,Local,200m,2020-03-14,2,35.35,False,False,Participation
CR001742,A0232,Kalahari Sprint Classic,Regional,200m,2020-11-19,6,35.48,False,True,Participation
CR001743,A0232,Masa Cup,Local,200m,2021-06-05,5,36.21,False,False,Qualified
CR001744,A0232,Masa Cup,Local,200m,2021-09-29,7,34.44,False,False,Finalist
CR001745,A0232,Kalahari Sprint Classic,Regional,200m,2021-11-05,3,34.52,False,False,Qualified
CR001746,A0232,Regional Open,Regional,200m,2021-11-30,4,36.05,False,False,Participation
CR001747,A0232,Kalahari Sprint Classic,Regional,100m,2023-05-29,3,35.83,True,False,Participation
CR001748,A0232,Regional Open,Regional,100m,2024-04-18,6,35.21,False,False,Participation
CR001749,A0233,Regional Open,Regional,100m,2020-02-18,5,15.69,False,False,Participation
CR001750,A0233,Kalahari Sprint Classic,Regional,100m,2020-03-11,6,16.25,False,False,Participation
CR001751,A0233,Independence Meet,Local,1500m,2024-01-23,2,15.68,True,True,Participation
CR001752,A0233,Kalahari Sprint Classic,Regional,100m,2024-03-29,8,15.99,False,False,Participation
CR001753,A0233,Kalahari Sprint Classic,Regional,100m,2024-08-04,5,15.84,False,False,Participation
CR001754,A0234,Independence Meet,Local,100m,2020-02-25,5,14.16,False,False,Participation
CR001755,A0234,Paralympic Trials,National,100m,2020-06-25,7,14.23,False,False,Participation
CR001756,A0234,Paralympic Trials,National,100m,2020-12-24,8,14.99,True,False,Participation
CR001757,A0234,Kalahari Sprint Classic,Regional,100m,2022-01-22,1,14.36,False,False,Qualified
CR001758,A0234,Botswana Nationals,National,100m,2022-03-25,4,14.41,False,False,Qualified
CR001759,A0234,Regional Open,Regional,100m,2022-11-16,3,14.49,True,False,Participation
CR001760,A0234,Paralympic Trials,National,100m,2023-06-30,3,14.75,False,False,Participation
CR001761,A0235,Kalahari Sprint Classic,Regional,800m,2020-01-25,3,163.55,False,False,Participation
CR001762,A0235,Masa Cup,Local,200m,2020-02-25,1,165.0,False,False,Qualified
CR001763,A0235,Regional Open,Regional,800m,2020-07-18,6,161.26,False,False,Qualified
CR001764,A0235,Masa Cup,Local,200m,2021-02-14,8,161.14,False,False,Finalist
CR001765,A0235,Masa Cup,Local,800m,2021-08-29,5,161.06,False,False,Qualified
CR001766,A0235,Paralympic Trials,National,800m,2022-06-27,3,160.53,False,False,Participation
CR001767,A0235,Paralympic Trials,National,800m,2023-08-20,4,162.06,True,False,Finalist
CR001768,A0235,Regional Open,Regional,800m,2024-07-19,8,166.06,False,False,Participation
CR001769,A0236,National Championships,National,400m,2021-08-19,1,62.88,False,False,Participation
CR001770,A0236,Southern Africa Games,Continental,400m,2022-01-25,1,62.71,False,False,Participation
CR001771,A0236,National Championships,National,400m,2022-04-27,1,62.08,False,True,Participation
CR001772,A0236,Southern Africa Games,Continental,1500m,2022-05-13,5,61.83,False,False,Finalist
CR001773,A0236,Botswana Nationals,National,400m,2022-08-12,3,63.36,False,False,Qualified
CR001774,A0236,National Championships,National,400m,2023-02-11,2,64.75,False,False,Finalist
CR001775,A0236,Continental Series,Continental,400m,2023-05-23,3,62.52,False,False,Qualified
CR001776,A0236,National Championships,National,400m,2023-06-21,1,61.61,False,False,Finalist
CR001777,A0236,Botswana Nationals,National,400m,2023-11-07,8,63.39,True,False,Qualified
CR001778,A0237,Paralympic Trials,National,800m,2020-03-28,3,27.15,False,False,Finalist
CR001779,A0237,Continental Series,Continental,200m,2020-07-22,5,28.67,False,False,Finalist
CR001780,A0237,National Championships,National,200m,2021-09-10,1,28.16,False,False,Qualified
CR001781,A0237,Botswana Nationals,National,200m,2023-03-05,1,28.15,False,False,Participation
CR001782,A0237,Botswana Nationals,National,800m,2023-10-15,1,28.09,True,False,Qualified
CR001783,A0237,Southern Africa Games,Continental,200m,2023-12-21,7,27.08,False,False,Qualified
CR001784,A0237,Regional Open,Regional,800m,2024-01-10,2,28.06,False,False,Finalist
CR001785,A0237,Continental Series,Continental,800m,2024-06-08,2,28.42,False,True,Participation
CR001786,A0238,National Championships,National,400m,2020-02-07,4,64.08,True,False,Participation
CR001787,A0238,Masa Cup,Local,400m,2022-07-10,2,66.78,False,False,Participation
CR001788,A0238,Regional Open,Regional,400m,2022-11-11,1,67.52,False,False,Participation
CR001789,A0238,Independence Meet,Local,400m,2022-11-22,3,65.8,False,False,Participation
CR001790,A0238,National Championships,National,400m,2024-02-19,3,67.16,False,False,Participation
CR001791,A0238,Kalahari Sprint Classic,Regional,800m,2024-03-15,2,65.39,False,False,Participation
CR001792,A0239,Independence Meet,Local,800m,2020-05-16,6,186.5,True,False,Finalist
CR001793,A0239,Independence Meet,Local,800m,2021-01-16,2,176.68,False,False,Finalist
CR001794,A0239,Regional Open,Regional,200m,2023-05-07,5,186.67,False,False,Participation
CR001795,A0239,Masa Cup,Local,800m,2023-05-08,4,180.69,False,False,Qualified
CR001796,A0239,Kalahari Sprint Classic,Regional,800m,2024-03-07,2,186.13,False,False,Participation
CR001797,A0240,National Championships,National,200m,2020-03-02,1,30.47,False,False,Finalist
CR001798,A0240,Kalahari Sprint Classic,Regional,200m,2020-03-14,8,30.61,False,False,Participation
CR001799,A0240,Masa Cup,Local,200m,2021-07-12,3,30.14,False,False,Participation
CR001800,A0240,Kalahari Sprint Classic,Regional,200m,2021-09-18,5,29.37,False,False,Participation
CR001801,A0240,National Championships,National,200m,2021-11-14,3,30.21,False,False,Participation
CR001802,A0240,Kalahari Sprint Classic,Regional,200m,2023-09-12,7,30.04,True,False,Participation
CR001803,A0240,Masa Cup,Local,400m,2024-06-13,3,29.27,False,False,Participation
CR001804,A0240,Masa Cup,Local,200m,2024-12-01,3,28.77,True,False,Qualified
CR001805,A0241,Regional Open,Regional,400m,2020-05-01,3,28.86,False,False,Participation
CR001806,A0241,Continental Series,Continental,200m,2020-11-04,5,28.37,False,False,Participation
CR001807,A0241,Paralympic Trials,National,200m,2022-04-03,4,28.77,False,False,Participation
CR001808,A0241,National Championships,National,200m,2022-10-14,1,28.18,False,False,Finalist
CR001809,A0241,Continental Series,Continental,400m,2023-07-28,2,27.5,False,False,Participation
CR001810,A0241,Southern Africa Games,Continental,200m,2023-08-03,5,29.1,False,False,Qualified
CR001811,A0241,Continental Series,Continental,200m,2023-09-24,1,28.16,False,False,Qualified
CR001812,A0241,Regional Open,Regional,200m,2023-10-30,6,28.22,False,False,Participation
CR001813,A0241,Regional Open,Regional,400m,2024-04-23,4,27.38,False,False,Qualified
CR001814,A0241,Botswana Nationals,National,200m,2024-11-13,5,28.59,False,False,Qualified
CR001815,A0241,National Championships,National,200m,2024-12-28,2,27.75,False,False,Participation
CR001816,A0242,Paralympic Trials,National,800m,2021-01-14,5,164.6,False,False,Finalist
CR001817,A0242,Independence Meet,Local,800m,2021-07-03,3,160.21,True,False,Qualified
CR001818,A0242,Botswana Nationals,National,800m,2021-09-29,3,165.57,False,False,Qualified
CR001819,A0242,Botswana Nationals,National,800m,2021-12-24,2,166.59,True,False,Qualified
CR001820,A0242,Paralympic Trials,National,800m,2022-05-28,4,160.17,False,False,Qualified
CR001821,A0242,Masa Cup,Local,800m,2023-01-08,1,165.87,False,False,Finalist
CR001822,A0242,Masa Cup,Local,800m,2024-03-26,4,163.99,False,False,Qualified
CR001823,A0242,Independence Meet,Local,1500m,2024-11-21,7,164.98,False,False,Finalist
CR001824,A0242,Independence Meet,Local,800m,2024-11-21,6,160.1,False,False,Qualified
CR001825,A0243,Masa Cup,Local,100m,2022-06-08,2,16.5,False,False,Qualified
CR001826,A0243,Regional Open,Regional,100m,2022-11-15,2,15.84,False,False,Qualified
CR001827,A0243,Paralympic Trials,National,100m,2023-05-25,8,16.26,False,False,Finalist
CR001828,A0243,Independence Meet,Local,100m,2023-11-12,3,15.51,False,False,Qualified
CR001829,A0243,Botswana Nationals,National,200m,2024-06-11,6,16.12,False,False,Participation
CR001830,A0243,Botswana Nationals,National,100m,2024-09-20,4,16.49,False,False,Participation
CR001831,A0244,Southern Africa Games,Continental,400m,2020-01-08,1,58.93,True,True,Participation
CR001832,A0244,World Para Athletics GP,World,400m,2020-07-29,1,59.51,False,False,Participation
CR001833,A0244,World Para Athletics GP,World,400m,2020-11-09,4,62.13,True,False,Participation
CR001834,A0244,Southern Africa Games,Continental,200m,2021-02-20,1,60.72,False,False,Finalist
CR001835,A0244,Botswana Nationals,National,400m,2021-06-16,3,61.54,True,False,Qualified
CR001836,A0244,National Championships,National,400m,2021-07-01,1,61.04,False,False,Participation
CR001837,A0244,National Championships,National,400m,2021-09-03,4,60.15,False,False,Participation
CR001838,A0244,National Championships,National,400m,2022-06-28,1,59.8,False,False,Participation
CR001839,A0244,Paralympic Trials,National,400m,2022-07-20,3,59.28,True,False,Finalist
CR001840,A0244,National Championships,National,400m,2023-05-30,7,59.76,False,False,Participation
CR001841,A0244,Southern Africa Games,Continental,400m,2023-11-02,3,60.29,False,False,Finalist
CR001842,A0244,Paralympic Trials,National,400m,2024-02-03,1,61.27,False,False,Participation
CR001843,A0244,Paralympic Trials,National,200m,2024-06-20,5,60.13,False,False,Participation
CR001844,A0245,Paralympic Trials,National,1500m,2020-01-20,8,309.08,False,False,Qualified
CR001845,A0245,National Championships,National,1500m,2020-05-05,6,321.5,False,False,Participation
CR001846,A0245,Masa Cup,Local,1500m,2020-07-17,5,308.78,False,False,Participation
CR001847,A0245,National Championships,National,1500m,2020-11-27,5,309.33,False,False,Qualified
CR001848,A0245,Kalahari Sprint Classic,Regional,1500m,2021-08-26,4,318.6,False,False,Participation
CR001849,A0245,Kalahari Sprint Classic,Regional,1500m,2022-07-18,3,322.07,False,False,Participation
CR001850,A0245,Paralympic Trials,National,1500m,2022-12-05,5,309.61,False,False,Qualified
CR001851,A0245,Masa Cup,Local,1500m,2023-09-13,4,320.91,False,False,Participation
CR001852,A0246,Southern Africa Games,Continental,400m,2020-03-12,6,60.8,False,True,Qualified
CR001853,A0246,Regional Open,Regional,800m,2020-09-15,2,61.15,False,False,Qualified
CR001854,A0246,Southern Africa Games,Continental,800m,2021-04-26,1,64.24,False,True,Participation
CR001855,A0246,Paralympic Trials,National,400m,2021-06-02,7,64.32,False,False,Participation
CR001856,A0246,Kalahari Sprint Classic,Regional,400m,2021-11-08,4,60.98,False,False,Qualified
CR001857,A0246,Botswana Nationals,National,400m,2022-09-14,6,62.93,False,False,Participation
CR001858,A0246,Regional Open,Regional,400m,2024-01-31,3,62.49,False,False,Qualified
CR001859,A0246,Continental Series,Continental,400m,2024-12-05,4,60.98,False,False,Qualified
CR001860,A0247,National Championships,National,800m,2020-01-06,4,145.1,False,False,Participation
CR001861,A0247,Botswana Nationals,National,800m,2020-07-10,4,145.56,True,False,Participation
CR001862,A0247,Botswana Nationals,National,800m,2021-01-01,2,153.62,False,False,Participation
CR001863,A0247,Independence Meet,Local,800m,2021-05-11,2,152.29,False,False,Finalist
CR001864,A0247,Kalahari Sprint Classic,Regional,1500m,2021-05-31,8,150.33,False,False,Participation
CR001865,A0247,Botswana Nationals,National,800m,2021-06-01,3,143.75,True,False,Participation
CR001866,A0247,National Championships,National,800m,2021-09-18,8,150.24,False,False,Participation
CR001867,A0247,Paralympic Trials,National,800m,2023-11-02,2,145.05,False,False,Participation
CR001868,A0248,Kalahari Sprint Classic,Regional,400m,2020-01-15,7,73.08,False,False,Qualified
CR001869,A0248,Independence Meet,Local,800m,2020-06-19,5,74.79,False,False,Participation
CR001870,A0248,Regional Open,Regional,400m,2020-10-06,4,76.18,True,False,Qualified
CR001871,A0248,Masa Cup,Local,400m,2021-02-06,5,76.94,False,False,Qualified
CR001872,A0248,Regional Open,Regional,400m,2023-06-06,4,77.39,False,False,Participation
CR001873,A0249,Botswana Nationals,National,800m,2020-03-27,3,313.04,False,False,Qualified
CR001874,A0249,Paralympic Trials,National,1500m,2021-01-24,5,327.74,False,False,Qualified
CR001875,A0249,Paralympic Trials,National,1500m,2021-02-11,8,323.83,False,False,Participation
CR001876,A0249,Masa Cup,Local,1500m,2021-06-25,4,313.94,False,False,Participation
CR001877,A0249,Kalahari Sprint Classic,Regional,800m,2021-08-22,1,333.63,False,True,Participation
CR001878,A0249,Botswana Nationals,National,1500m,2023-03-07,6,327.59,False,False,Participation
CR001879,A0249,Regional Open,Regional,1500m,2023-11-01,3,326.74,False,True,Participation
CR001880,A0249,Botswana Nationals,National,1500m,2024-11-12,2,330.15,False,False,Participation
CR001881,A0249,Kalahari Sprint Classic,Regional,1500m,2024-12-07,8,325.66,True,False,Finalist
CR001882,A0250,Botswana Nationals,National,100m,2020-01-12,1,15.17,False,False,Participation
CR001883,A0250,National Championships,National,1500m,2020-02-01,3,15.28,False,False,Participation
CR001884,A0250,Independence Meet,Local,100m,2020-07-20,2,15.53,False,False,Finalist
CR001885,A0250,Botswana Nationals,National,100m,2020-09-23,5,15.73,False,False,Participation
CR001886,A0250,National Championships,National,100m,2023-01-25,1,14.85,False,False,Finalist
CR001887,A0250,Independence Meet,Local,100m,2024-08-19,3,14.92,False,False,Qualified
CR001888,A0251,Southern Africa Games,Continental,100m,2020-04-08,3,14.56,True,False,Participation
CR001889,A0251,Regional Open,Regional,100m,2021-05-19,2,14.09,False,False,Finalist
CR001890,A0251,Kalahari Sprint Classic,Regional,800m,2022-04-01,8,14.46,False,False,Qualified
CR001891,A0251,Paralympic Trials,National,800m,2022-04-11,3,14.14,False,False,Qualified
CR001892,A0251,Southern Africa Games,Continental,100m,2022-08-04,3,14.74,True,False,Qualified
CR001893,A0251,Southern Africa Games,Continental,100m,2022-08-18,3,14.99,False,False,Participation
CR001894,A0251,Regional Open,Regional,100m,2023-01-19,4,14.94,True,True,Finalist
CR001895,A0251,Botswana Nationals,National,100m,2023-05-21,1,14.74,True,False,Participation
CR001896,A0252,Masa Cup,Local,100m,2020-01-06,1,15.03,False,False,Qualified
CR001897,A0252,Kalahari Sprint Classic,Regional,100m,2020-01-10,8,15.03,False,False,Qualified
CR001898,A0252,Botswana Nationals,National,100m,2022-04-18,2,15.03,False,False,Finalist
CR001899,A0252,Kalahari Sprint Classic,Regional,100m,2022-07-16,8,14.88,False,False,Participation
CR001900,A0252,Botswana Nationals,National,100m,2023-04-03,8,14.47,False,False,Qualified
CR001901,A0252,Kalahari Sprint Classic,Regional,100m,2023-10-17,5,14.6,False,False,Finalist
CR001902,A0252,Kalahari Sprint Classic,Regional,1500m,2024-04-08,8,15.06,False,False,Participation
CR001903,A0253,Southern Africa Games,Continental,200m,2020-06-17,4,29.22,False,False,Participation
CR001904,A0253,National Championships,National,200m,2020-07-08,2,29.09,True,False,Finalist
CR001905,A0253,Paralympic Trials,National,200m,2020-09-06,7,28.06,False,False,Participation
CR001906,A0253,National Championships,National,200m,2020-12-21,1,28.33,False,False,Qualified
CR001907,A0253,National Championships,National,200m,2022-09-15,1,29.66,False,False,Qualified
CR001908,A0253,Southern Africa Games,Continental,200m,2023-02-22,1,29.5,False,False,Qualified
CR001909,A0253,National Championships,National,200m,2023-05-23,1,29.17,True,False,Qualified
CR001910,A0253,Botswana Nationals,National,200m,2023-06-01,4,29.03,False,False,Finalist
CR001911,A0253,Continental Series,Continental,200m,2023-06-14,3,28.42,False,False,Finalist
CR001912,A0253,Southern Africa Games,Continental,200m,2024-02-18,5,28.95,False,False,Qualified
CR001913,A0253,Continental Series,Continental,200m,2024-05-28,3,29.72,True,False,Participation
CR001914,A0253,National Championships,National,1500m,2024-12-26,1,29.32,False,False,Qualified
CR001915,A0254,Masa Cup,Local,100m,2020-09-13,3,16.84,False,False,Qualified
CR001916,A0254,Independence Meet,Local,100m,2021-01-05,3,16.58,False,True,Qualified
CR001917,A0254,Kalahari Sprint Classic,Regional,100m,2023-07-09,4,16.76,True,False,Participation
CR001918,A0254,Regional Open,Regional,100m,2023-07-13,8,16.75,False,False,Participation
CR001919,A0254,Regional Open,Regional,400m,2023-10-22,5,17.61,False,False,Qualified
CR001920,A0254,Masa Cup,Local,100m,2024-01-19,4,17.25,True,False,Qualified
CR001921,A0254,Kalahari Sprint Classic,Regional,100m,2024-09-19,2,17.53,False,False,Participation
CR001922,A0255,Continental Series,Continental,100m,2020-03-02,4,14.3,False,False,Participation
CR001923,A0255,Kalahari Sprint Classic,Regional,1500m,2020-12-21,2,14.23,False,False,Qualified
CR001924,A0255,Continental Series,Continental,1500m,2021-04-18,7,14.23,False,False,Participation
CR001925,A0255,Continental Series,Continental,100m,2021-08-04,2,14.05,False,False,Participation
CR001926,A0255,Kalahari Sprint Classic,Regional,1500m,2021-09-09,5,14.16,False,False,Participation
CR001927,A0255,Kalahari Sprint Classic,Regional,100m,2022-05-30,7,14.15,False,False,Qualified
CR001928,A0255,Continental Series,Continental,100m,2022-12-07,4,14.0,True,False,Participation
CR001929,A0255,Paralympic Trials,National,100m,2023-02-24,8,13.99,True,False,Qualified
CR001930,A0255,Botswana Nationals,National,100m,2023-04-28,1,14.1,False,True,Finalist
CR001931,A0256,Regional Open,Regional,1500m,2020-05-07,4,345.09,True,False,Finalist
CR001932,A0256,Independence Meet,Local,200m,2021-11-26,3,352.63,False,False,Qualified
CR001933,A0256,Independence Meet,Local,1500m,2022-08-08,2,340.76,False,False,Participation
CR001934,A0256,Masa Cup,Local,1500m,2023-09-23,8,349.61,False,True,Finalist
CR001935,A0256,Kalahari Sprint Classic,Regional,1500m,2024-07-08,2,331.39,False,False,Participation
CR001936,A0256,Regional Open,Regional,200m,2024-07-29,8,344.04,False,False,Finalist
CR001937,A0257,Botswana Nationals,National,400m,2020-11-19,8,14.61,True,False,Participation
CR001938,A0257,Masa Cup,Local,100m,2021-06-05,8,14.77,False,False,Participation
