medal_id,athlete_id,competition_name,event,medal_type,competition_level,year
M000809,A0212,National Championships,800m,Gold,National,2021
M000810,A0212,Continental Series,200m,Gold,Continental,2023
M000811,A0212,Continental Series,200m,Silver,Continental,2023
M000812,A0213,Regional Open,100m,Gold,Regional,2020
M000813,A0213,Regional Open,100m,Silver,Regional,2021
M000814,A0213,National Championships,100m,Silver,National,2021
M000815,A0213,Botswana Nationals,100m,Gold,National,2021
M000816,A0213,Regional Open,100m,Gold,Regional,2023
M000817,A0214,Botswana Nationals,400m,Bronze,National,2020
M000818,A0214,Botswana Nationals,400m,Bronze,National,2021
M000819,A0214,Botswana Nationals,400m,Gold,National,2022
M000820,A0214,Botswana Nationals,400m,Silver,National,2024
M000821,A0215,Southern Africa Games,800m,Gold,Continental,2021
M000822,A0215,World Para Athletics GP,800m,Bronze,World,2021
M000823,A0215,National Championships,800m,Bronze,National,2021
M000824,A0215,Botswana Nationals,800m,Gold,National,2023
M000825,A0215,National Championships,800m,Gold,National,2023
M000826,A0215,World Para Athletics GP,800m,Gold,World,2024
M000827,A0215,Paralympic Trials,100m,Gold,National,2024
M000828,A0216,Kalahari Sprint Classic,400m,Bronze,Regional,2022
M000829,A0216,Kalahari Sprint Classic,400m,Bronze,Regional,2023
M000830,A0217,Independence Meet,200m,Bronze,Local,2020
M000831,A0217,Regional Open,200m,Gold,Regional,2020
M000832,A0217,Regional Open,200m,Silver,Regional,2021
M000833,A0217,Paralympic Trials,200m,Gold,National,2022
M000834,A0218,Independence Meet,100m,Silver,Local,2022
M000835,A0218,Masa Cup,100m,Bronze,Local,2024
M000836,A0219,Regional Open,100m,Bronze,Regional,2021
M000837,A0219,Regional Open,100m,Bronze,Regional,2023
M000838,A0219,Regional Open,100m,Silver,Regional,2024
M000839,A0220,Continental Series,100m,Silver,Continental,2020
M000840,A0220,Kalahari Sprint Classic,100m,Bronze,Regional,2021
M000841,A0220,Kalahari Sprint Classic,100m,Gold,Regional,2021
M000842,A0220,National Championships,1500m,Bronze,National,2022
M000843,A0220,National Championships,100m,Silver,National,2023
M000844,A0220,Paralympic Trials,100m,Gold,National,2024
M000845,A0220,National Championships,100m,Gold,National,2024
M000846,A0220,Kalahari Sprint Classic,100m,Gold,Regional,2024
M000847,A0221,Regional Open,100m,Bronze,Regional,2024
M000848,A0222,Regional Open,200m,Silver,Regional,2022
M000849,A0222,Kalahari Sprint Classic,200m,Silver,Regional,2023
M000850,A0222,Regional Open,200m,Bronze,Regional,2023
M000851,A0223,Masa Cup,200m,Bronze,Local,2022
M000852,A0223,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000853,A0223,Paralympic Trials,1500m,Silver,National,2024
M000854,A0223,Botswana Nationals,1500m,Silver,National,2024
M000855,A0224,Independence Meet,100m,Silver,Local,2021
M000856,A0224,Regional Open,200m,Bronze,Regional,2024
M000857,A0225,Regional Open,400m,Silver,Regional,2023
M000858,A0225,Kalahari Sprint Classic,400m,Gold,Regional,2023
M000859,A0225,National Championships,400m,Bronze,National,2023
M000860,A0226,National Championships,200m,Bronze,National,2020
M000861,A0226,Southern Africa Games,1500m,Gold,Continental,2020
M000862,A0226,Paralympic Trials,200m,Gold,National,2021
M000863,A0226,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000864,A0227,Regional Open,100m,Silver,Regional,2020
M000865,A0227,Independence Meet,100m,Silver,Local,2022
M000866,A0227,Masa Cup,100m,Silver,Local,2022
M000867,A0228,Southern Africa Games,200m,Bronze,Continental,2020
M000868,A0228,Paralympic Trials,200m,Gold,National,2022
M000869,A0228,Botswana Nationals,200m,Bronze,National,2023
M000870,A0228,Regional Open,1500m,Bronze,Regional,2024
M000871,A0229,Masa Cup,200m,Silver,Local,2021
M000872,A0229,Paralympic Trials,200m,Silver,National,2021
M000873,A0229,Paralympic Trials,200m,Gold,National,2022
M000874,A0229,Independence Meet,800m,Gold,Local,2023
M000875,A0229,Independence Meet,800m,Silver,Local,2023
M000876,A0229,Regional Open,200m,Silver,Regional,2023
M000877,A0230,National Championships,200m,Silver,National,2020
M000878,A0230,Regional Open,200m,Bronze,Regional,2022
M000879,A0230,Regional Open,800m,Gold,Regional,2024
M000880,A0231,Independence Meet,100m,Gold,Local,2020
M000881,A0232,Independence Meet,200m,Silver,Local,2020
M000882,A0232,Kalahari Sprint Classic,200m,Bronze,Regional,2021
M000883,A0232,Kalahari Sprint Classic,100m,Bronze,Regional,2023
M000884,A0233,Independence Meet,1500m,Silver,Local,2024
M000885,A0234,Kalahari Sprint Classic,100m,Gold,Regional,2022
M000886,A0234,Regional Open,100m,Bronze,Regional,2022
M000887,A0234,Paralympic Trials,100m,Bronze,National,2023
M000888,A0235,Kalahari Sprint Classic,800m,Bronze,Regional,2020
M000889,A0235,Masa Cup,200m,Gold,Local,2020
M000890,A0235,Paralympic Trials,800m,Bronze,National,2022
M000891,A0236,National Championships,400m,Gold,National,2021
M000892,A0236,Southern Africa Games,400m,Gold,Continental,2022
M000893,A0236,National Championships,400m,Gold,National,2022
M000894,A0236,Botswana Nationals,400m,Bronze,National,2022
M000895,A0236,National Championships,400m,Silver,National,2023
M000896,A0236,Continental Series,400m,Bronze,Continental,2023
M000897,A0236,National Championships,400m,Gold,National,2023
M000898,A0237,Paralympic Trials,800m,Bronze,National,2020
M000899,A0237,National Championships,200m,Gold,National,2021
M000900,A0237,Botswana Nationals,200m,Gold,National,2023
M000901,A0237,Botswana Nationals,800m,Gold,National,2023
M000902,A0237,Regional Open,800m,Silver,Regional,2024
M000903,A0237,Continental Series,800m,Silver,Continental,2024
M000904,A0238,Masa Cup,400m,Silver,Local,2022
M000905,A0238,Regional Open,400m,Gold,Regional,2022
M000906,A0238,Independence Meet,400m,Bronze,Local,2022
M000907,A0238,National Championships,400m,Bronze,National,2024
M000908,A0238,Kalahari Sprint Classic,800m,Silver,Regional,2024
M000909,A0239,Independence Meet,800m,Silver,Local,2021
M000910,A0239,Kalahari Sprint Classic,800m,Silver,Regional,2024
M000911,A0240,National Championships,200m,Gold,National,2020
M000912,A0240,Masa Cup,200m,Bronze,Local,2021
M000913,A0240,National Championships,200m,Bronze,National,2021
M000914,A0240,Masa Cup,400m,Bronze,Local,2024
M000915,A0240,Masa Cup,200m,Bronze,Local,2024
M000916,A0241,Regional Open,400m,Bronze,Regional,2020
M000917,A0241,National Championships,200m,Gold,National,2022
M000918,A0241,Continental Series,400m,Silver,Continental,2023
M000919,A0241,Continental Series,200m,Gold,Continental,2023
M000920,A0241,National Championships,200m,Silver,National,2024
M000921,A0242,Independence Meet,800m,Bronze,Local,2021
M000922,A0242,Botswana Nationals,800m,Bronze,National,2021
M000923,A0242,Botswana Nationals,800m,Silver,National,2021
M000924,A0242,Masa Cup,800m,Gold,Local,2023
M000925,A0243,Masa Cup,100m,Silver,Local,2022
M000926,A0243,Regional Open,100m,Silver,Regional,2022
M000927,A0243,Independence Meet,100m,Bronze,Local,2023
M000928,A0244,Southern Africa Games,400m,Gold,Continental,2020
M000929,A0244,World Para Athletics GP,400m,Gold,World,2020
M000930,A0244,Southern Africa Games,200m,Gold,Continental,2021
M000931,A0244,Botswana Nationals,400m,Bronze,National,2021
M000932,A0244,National Championships,400m,Gold,National,2021
M000933,A0244,National Championships,400m,Gold,National,2022
M000934,A0244,Paralympic Trials,400m,Bronze,National,2022
M000935,A0244,Southern Africa Games,400m,Bronze,Continental,2023
M000936,A0244,Paralympic Trials,400m,Gold,National,2024
M000937,A0245,Kalahari Sprint Classic,1500m,Bronze,Regional,2022
M000938,A0246,Regional Open,800m,Silver,Regional,2020
M000939,A0246,Southern Africa Games,800m,Gold,Continental,2021
M000940,A0246,Regional Open,400m,Bronze,Regional,2024
M000941,A0247,Botswana Nationals,800m,Silver,National,2021
M000942,A0247,Independence Meet,800m,Silver,Local,2021
M000943,A0247,Botswana Nationals,800m,Bronze,National,2021
M000944,A0247,Paralympic Trials,800m,Silver,National,2023
M000945,A0249,Botswana Nationals,800m,Bronze,National,2020
M000946,A0249,Kalahari Sprint Classic,800m,Gold,Regional,2021
M000947,A0249,Regional Open,1500m,Bronze,Regional,2023
M000948,A0249,Botswana Nationals,1500m,Silver,National,2024
M000949,A0250,Botswana Nationals,100m,Gold,National,2020
M000950,A0250,National Championships,1500m,Bronze,National,2020
M000951,A0250,Independence Meet,100m,Silver,Local,2020
M000952,A0250,National Championships,100m,Gold,National,2023
M000953,A0250,Independence Meet,100m,Bronze,Local,2024
M000954,A0251,Southern Africa Games,100m,Bronze,Continental,2020
M000955,A0251,Regional Open,100m,Silver,Regional,2021
M000956,A0251,Paralympic Trials,800m,Bronze,National,2022
M000957,A0251,Southern Africa Games,100m,Bronze,Continental,2022
M000958,A0251,Southern Africa Games,100m,Bronze,Continental,2022
M000959,A0251,Botswana Nationals,100m,Gold,National,2023
M000960,A0252,Masa Cup,100m,Gold,Local,2020
M000961,A0252,Botswana Nationals,100m,Silver,National,2022
M000962,A0253,National Championships,200m,Silver,National,2020
M000963,A0253,National Championships,200m,Gold,National,2020
M000964,A0253,National Championships,200m,Gold,National,2022
M000965,A0253,Southern Africa Games,200m,Gold,Continental,2023
M000966,A0253,National Championships,200m,Gold,National,2023
M000967,A0253,Continental Series,200m,Bronze,Continental,2023
M000968,A0253,Continental Series,200m,Bronze,Continental,2024
M000969,A0253,National Championships,1500m,Gold,National,2024
M000970,A0254,Masa Cup,100m,Bronze,Local,2020
M000971,A0254,Independence Meet,100m,Bronze,Local,2021
M000972,A0254,Kalahari Sprint Classic,100m,Silver,Regional,2024
M000973,A0255,Kalahari Sprint Classic,1500m,Silver,Regional,2020
M000974,A0255,Continental Series,100m,Silver,Continental,2021
M000975,A0255,Botswana Nationals,100m,Gold,National,2023
M000976,A0256,Independence Meet,200m,Bronze,Local,2021
M000977,A0256,Independence Meet,1500m,Silver,Local,2022
M000978,A0256,Kalahari Sprint Classic,1500m,Silver,Regional,2024
M000979,A0257,Kalahari Sprint Classic,100m,Bronze,Regional,2022
M000980,A0257,Regional Open,100m,Gold,Regional,2023
M000981,A0257,Botswana Nationals,100m,Silver,National,2023
M000982,A0257,Masa Cup,100m,Bronze,Local,2024
M000983,A0258,Regional Open,100m,Silver,Regional,2023
M000984,A0258,Masa Cup,100m,Silver,Local,2023
M000985,A0259,Masa Cup,800m,Bronze,Local,2021
M000986,A0259,Kalahari Sprint Classic,800m,Bronze,Regional,2021
M000987,A0260,Kalahari Sprint Classic,100m,Bronze,Regional,2021
M000988,A0260,Masa Cup,100m,Bronze,Local,2024
M000989,A0261,Paralympic Trials,800m,Bronze,National,2021
M000990,A0261,National Championships,800m,Bronze,National,2022
M000991,A0261,Regional Open,800m,Bronze,Regional,2022
M000992,A0261,Paralympic Trials,1500m,Silver,National,2023
M000993,A0261,Continental Series,800m,Bronze,Continental,2024
M000994,A0261,Southern Africa Games,800m,Gold,Continental,2024
M000995,A0262,Kalahari Sprint Classic,400m,Silver,Regional,2022
M000996,A0262,Independence Meet,400m,Bronze,Local,2022
M000997,A0262,Kalahari Sprint Classic,400m,Bronze,Regional,2024
M000998,A0263,Continental Series,200m,Silver,Continental,2020
M000999,A0263,Botswana Nationals,100m,Silver,National,2020
M001000,A0263,Southern Africa Games,200m,Gold,Continental,2021
M001001,A0263,Botswana Nationals,200m,Bronze,National,2021
M001002,A0263,Southern Africa Games,100m,Bronze,Continental,2022
M001003,A0265,Masa Cup,100m,Silver,Local,2020
M001004,A0265,Masa Cup,400m,Silver,Local,2022
M001005,A0265,Regional Open,400m,Silver,Regional,2023
M001006,A0265,Independence Meet,400m,Silver,Local,2023
M001007,A0266,Masa Cup,200m,Silver,Local,2022
M001008,A0266,Regional Open,200m,Silver,Regional,2023
M001009,A0267,Regional Open,400m,Bronze,Regional,2021
M001010,A0267,Botswana Nationals,400m,Silver,National,2023
M001011,A0267,Botswana Nationals,400m,Bronze,National,2023
M001012,A0268,Masa Cup,100m,Silver,Local,2023
M001013,A0268,Masa Cup,100m,Silver,Local,2024
M001014,A0269,Kalahari Sprint Classic,400m,Silver,Regional,2021
M001015,A0269,Botswana Nationals,800m,Silver,National,2021
M001016,A0269,Kalahari Sprint Classic,400m,Bronze,Regional,2022
M001017,A0270,Paralympic Trials,200m,Silver,National,2020
M001018,A0270,Botswana Nationals,200m,Bronze,National,2023
M001019,A0270,Paralympic Trials,200m,Bronze,National,2024
M001020,A0271,Botswana Nationals,400m,Gold,National,2020
M001021,A0271,Regional Open,400m,Silver,Regional,2022
M001022,A0271,National Championships,400m,Gold,National,2023
M001023,A0271,Regional Open,400m,Bronze,Regional,2023
M001024,A0271,Continental Series,400m,Gold,Continental,2023
M001025,A0272,Kalahari Sprint Classic,400m,Bronze,Regional,2020
M001026,A0272,Regional Open,1500m,Silver,Regional,2020
M001027,A0272,Paralympic Trials,400m,Gold,National,2023
M001028,A0272,Botswana Nationals,400m,Bronze,National,2024
M001029,A0272,Paralympic Trials,400m,Silver,National,2024
M001030,A0273,Regional Open,200m,Gold,Regional,2020
M001031,A0273,National Championships,200m,Bronze,National,2023
M001032,A0274,National Championships,200m,Silver,National,2022
M001033,A0274,Independence Meet,200m,Silver,Local,2022
M001034,A0274,Independence Meet,200m,Gold,Local,2023
M001035,A0274,Kalahari Sprint Classic,200m,Gold,Regional,2024
M001036,A0276,Regional Open,800m,Bronze,Regional,2020
M001037,A0276,Paralympic Trials,800m,Bronze,National,2021
M001038,A0276,Kalahari Sprint Classic,100m,Bronze,Regional,2021
M001039,A0277,Kalahari Sprint Classic,100m,Silver,Regional,2020
M001040,A0278,Botswana Nationals,100m,Gold,National,2021
M001041,A0278,Masa Cup,1500m,Bronze,Local,2022
M001042,A0278,Botswana Nationals,100m,Bronze,National,2023
M001043,A0279,Paralympic Trials,100m,Bronze,National,2022
M001044,A0279,Independence Meet,100m,Silver,Local,2022
M001045,A0279,Regional Open,400m,Gold,Regional,2022
M001046,A0279,Kalahari Sprint Classic,400m,Gold,Regional,2023
M001047,A0280,Kalahari Sprint Classic,100m,Silver,Regional,2022
M001048,A0281,Botswana Nationals,200m,Gold,National,2020
M001049,A0281,Kalahari Sprint Classic,200m,Silver,Regional,2022
M001050,A0281,Regional Open,200m,Gold,Regional,2023
M001051,A0282,Paralympic Trials,100m,Bronze,National,2020
M001052,A0282,Regional Open,100m,Bronze,Regional,2021
M001053,A0283,Independence Meet,1500m,Silver,Local,2024
M001054,A0284,Paralympic Trials,100m,Bronze,National,2023
M001055,A0284,National Championships,800m,Silver,National,2023
M001056,A0284,Regional Open,100m,Bronze,Regional,2023
M001057,A0285,Kalahari Sprint Classic,800m,Silver,Regional,2024
M001058,A0285,Kalahari Sprint Classic,200m,Gold,Regional,2024
M001059,A0286,Independence Meet,800m,Bronze,Local,2021
M001060,A0286,Masa Cup,800m,Gold,Local,2022
M001061,A0286,Botswana Nationals,200m,Silver,National,2024
M001062,A0286,Regional Open,800m,Silver,Regional,2024
M001063,A0287,Kalahari Sprint Classic,100m,Gold,Regional,2020
M001064,A0287,Masa Cup,100m,Bronze,Local,2020
M001065,A0287,Paralympic Trials,100m,Silver,National,2020
M001066,A0287,Botswana Nationals,100m,Bronze,National,2021
M001067,A0288,National Championships,100m,Gold,National,2021
M001068,A0288,Paralympic Trials,100m,Gold,National,2022
M001069,A0288,Botswana Nationals,400m,Silver,National,2022
M001070,A0288,National Championships,100m,Bronze,National,2023
M001071,A0288,Masa Cup,100m,Silver,Local,2024
M001072,A0289,Kalahari Sprint Classic,100m,Silver,Regional,2021
M001073,A0289,Botswana Nationals,100m,Bronze,National,2023
M001074,A0290,Independence Meet,400m,Silver,Local,2020
M001075,A0290,National Championships,1500m,Bronze,National,2020
M001076,A0290,Paralympic Trials,400m,Gold,National,2021
M001077,A0291,Kalahari Sprint Classic,800m,Silver,Regional,2020
M001078,A0291,Continental Series,100m,Gold,Continental,2021
M001079,A0291,Paralympic Trials,800m,Silver,National,2022
M001080,A0291,Continental Series,800m,Gold,Continental,2022
M001081,A0291,Southern Africa Games,800m,Gold,Continental,2023
M001082,A0291,National Championships,800m,Bronze,National,2023
M001083,A0292,Regional Open,400m,Silver,Regional,2020
M001084,A0292,Independence Meet,400m,Silver,Local,2022
M001085,A0292,Independence Meet,400m,Bronze,Local,2024
M001086,A0293,Regional Open,400m,Gold,Regional,2020
M001087,A0293,Regional Open,400m,Silver,Regional,2023
M001088,A0293,Botswana Nationals,400m,Bronze,National,2023
M001089,A0294,Paralympic Trials,100m,Silver,National,2020
M001090,A0294,Regional Open,100m,Gold,Regional,2021
M001091,A0294,Continental Series,800m,Gold,Continental,2021
M001092,A0294,Botswana Nationals,100m,Silver,National,2023
M001093,A0295,Independence Meet,400m,Bronze,Local,2020
M001094,A0295,Masa Cup,200m,Gold,Local,2021
M001095,A0295,Regional Open,200m,Silver,Regional,2022
M001096,A0295,Independence Meet,200m,Bronze,Local,2023
M001097,A0296,National Championships,200m,Bronze,National,2020
M001098,A0296,Kalahari Sprint Classic,200m,Gold,Regional,2021
M001099,A0296,Continental Series,200m,Silver,Continental,2022
M001100,A0296,Kalahari Sprint Classic,200m,Silver,Regional,2023
M001101,A0296,Regional Open,200m,Silver,Regional,2023
M001102,A0296,Botswana Nationals,200m,Silver,National,2024
M001103,A0297,Botswana Nationals,800m,Bronze,National,2020
M001104,A0297,Botswana Nationals,800m,Gold,National,2023
M001105,A0297,Paralympic Trials,800m,Silver,National,2024
M001106,A0298,National Championships,400m,Bronze,National,2021
M001107,A0298,Independence Meet,100m,Bronze,Local,2022
M001108,A0298,National Championships,100m,Silver,National,2024
M001109,A0299,Southern Africa Games,200m,Gold,Continental,2021
M001110,A0299,Paralympic Trials,200m,Bronze,National,2024
M001111,A0299,National Championships,100m,Silver,National,2024
M001112,A0300,National Championships,100m,Silver,National,2020
M001113,A0300,Regional Open,100m,Bronze,Regional,2020
M001114,A0300,Masa Cup,100m,Bronze,Local,2022
M001115,A0300,National Championships,200m,Silver,National,2023
M001116,A0301,Botswana Nationals,1500m,Gold,National,2020
M001117,A0301,National Championships,800m,Silver,National,2021
M001118,A0301,Kalahari Sprint Classic,800m,Bronze,Regional,2023
M001119,A0302,National Championships,100m,Gold,National,2020
M001120,A0302,Botswana Nationals,200m,Silver,National,2020
M001121,A0302,Independence Meet,100m,Bronze,Local,2023
M001122,A0303,Regional Open,100m,Silver,Regional,2020
M001123,A0303,Masa Cup,100m,Silver,Local,2021
M001124,A0303,National Championships,100m,Bronze,National,2021
M001125,A0304,Regional Open,400m,Silver,Regional,2023
M001126,A0304,Masa Cup,400m,Bronze,Local,2024
M001127,A0305,Independence Meet,1500m,Bronze,Local,2021
M001128,A0305,Masa Cup,1500m,Silver,Local,2024
M001129,A0306,Independence Meet,1500m,Bronze,Local,2020
M001130,A0307,Paralympic Trials,100m,Bronze,National,2020
M001131,A0307,Paralympic Trials,100m,Gold,National,2021
M001132,A0307,Southern Africa Games,100m,Gold,Continental,2024
M001133,A0307,Southern Africa Games,800m,Bronze,Continental,2024
M001134,A0308,Paralympic Trials,100m,Gold,National,2020
M001135,A0308,Continental Series,100m,Silver,Continental,2020
M001136,A0308,Southern Africa Games,800m,Gold,Continental,2024
M001137,A0308,National Championships,100m,Gold,National,2024
M001138,A0308,Kalahari Sprint Classic,100m,Gold,Regional,2024
M001139,A0308,Kalahari Sprint Classic,100m,Bronze,Regional,2024
M001140,A0309,Kalahari Sprint Classic,400m,Silver,Regional,2020
M001141,A0309,Kalahari Sprint Classic,400m,Bronze,Regional,2021
M001142,A0309,National Championships,400m,Bronze,National,2022
M001143,A0309,Kalahari Sprint Classic,400m,Bronze,Regional,2022
M001144,A0309,National Championships,400m,Gold,National,2024
M001145,A0310,Independence Meet,400m,Bronze,Local,2022
M001146,A0310,Independence Meet,400m,Silver,Local,2022
M001147,A0310,Kalahari Sprint Classic,100m,Silver,Regional,2024
M001148,A0311,Kalahari Sprint Classic,1500m,Bronze,Regional,2022
M001149,A0311,Independence Meet,1500m,Silver,Local,2023
M001150,A0311,Masa Cup,1500m,Gold,Local,2023
M001151,A0311,Paralympic Trials,100m,Gold,National,2024
M001152,A0312,Kalahari Sprint Classic,100m,Bronze,Regional,2020
M001153,A0312,Masa Cup,100m,Silver,Local,2020
M001154,A0312,Independence Meet,100m,Bronze,Local,2021
M001155,A0312,Paralympic Trials,100m,Silver,National,2021
M001156,A0312,Masa Cup,1500m,Silver,Local,2021
M001157,A0312,Regional Open,100m,Gold,Regional,2023
M001158,A0312,Masa Cup,100m,Bronze,Local,2024
M001159,A0313,Continental Series,100m,Bronze,Continental,2020
M001160,A0313,National Championships,100m,Bronze,National,2020
M001161,A0313,Continental Series,100m,Gold,Continental,2021
M001162,A0313,Southern Africa Games,1500m,Silver,Continental,2021
M001163,A0313,Kalahari Sprint Classic,1500m,Bronze,Regional,2022
M001164,A0313,Paralympic Trials,100m,Gold,National,2024
M001165,A0314,Independence Meet,800m,Silver,Local,2023
M001166,A0314,Regional Open,800m,Bronze,Regional,2024
M001167,A0315,Paralympic Trials,200m,Gold,National,2020
M001168,A0316,Kalahari Sprint Classic,100m,Bronze,Regional,2024
M001169,A0317,Regional Open,400m,Silver,Regional,2021
M001170,A0317,Independence Meet,400m,Silver,Local,2023
M001171,A0317,Kalahari Sprint Classic,400m,Bronze,Regional,2023
M001172,A0317,Regional Open,1500m,Silver,Regional,2023
M001173,A0318,Kalahari Sprint Classic,400m,Silver,Regional,2021
M001174,A0318,Masa Cup,400m,Silver,Local,2022
M001175,A0318,Regional Open,400m,Bronze,Regional,2023
M001176,A0318,Masa Cup,400m,Bronze,Local,2024
M001177,A0319,Southern Africa Games,400m,Silver,Continental,2020
M001178,A0319,Continental Series,400m,Gold,Continental,2020
M001179,A0319,Continental Series,400m,Gold,Continental,2021
M001180,A0319,Southern Africa Games,100m,Gold,Continental,2021
M001181,A0319,Paralympic Trials,400m,Silver,National,2021
M001182,A0319,Paralympic Trials,400m,Gold,National,2022
M001183,A0319,Botswana Nationals,400m,Silver,National,2022
M001184,A0320,Paralympic Trials,100m,Silver,National,2020
M001185,A0320,Masa Cup,800m,Silver,Local,2021
M001186,A0320,Paralympic Trials,100m,Silver,National,2021
M001187,A0320,Independence Meet,100m,Silver,Local,2022
M001188,A0321,National Championships,1500m,Silver,National,2023
M001189,A0321,Kalahari Sprint Classic,1500m,Gold,Regional,2023
M001190,A0321,Independence Meet,1500m,Silver,Local,2024
M001191,A0321,Masa Cup,1500m,Gold,Local,2024
M001192,A0322,National Championships,200m,Bronze,National,2020
M001193,A0322,Paralympic Trials,400m,Bronze,National,2021
M001194,A0322,Masa Cup,400m,Silver,Local,2022
M001195,A0322,Regional Open,400m,Bronze,Regional,2024
M001196,A0323,Regional Open,1500m,Bronze,Regional,2021
M001197,A0323,Masa Cup,200m,Silver,Local,2023
M001198,A0323,Independence Meet,1500m,Gold,Local,2024
M001199,A0323,Kalahari Sprint Classic,1500m,Silver,Regional,2024
M001200,A0324,Independence Meet,1500m,Silver,Local,2021
M001201,A0324,Independence Meet,1500m,Silver,Local,2022
M001202,A0324,Paralympic Trials,800m,Silver,National,2022
M001203,A0324,National Championships,1500m,Silver,National,2022
M001204,A0325,Botswana Nationals,800m,Bronze,National,2020
M001205,A0325,Southern Africa Games,800m,Silver,Continental,2021
M001206,A0325,National Championships,800m,Silver,National,2022
M001207,A0325,Continental Series,800m,Gold,Continental,2023
M001208,A0326,Regional Open,100m,Gold,Regional,2021
M001209,A0326,Botswana Nationals,800m,Silver,National,2022
M001210,A0326,Independence Meet,800m,Silver,Local,2023
M001211,A0326,National Championships,800m,Gold,National,2023
M001212,A0326,Kalahari Sprint Classic,800m,Silver,Regional,2024
M001213,A0327,National Championships,100m,Gold,National,2021
M001214,A0327,National Championships,100m,Gold,National,2022
M001215,A0327,Southern Africa Games,100m,Gold,Continental,2022
M001216,A0327,Paralympic Trials,100m,Gold,National,2023
M001217,A0328,Paralympic Trials,1500m,Bronze,National,2020
M001218,A0328,Masa Cup,1500m,Gold,Local,2020
M001219,A0328,Masa Cup,1500m,Gold,Local,2021
M001220,A0328,Botswana Nationals,1500m,Silver,National,2021
M001221,A0328,Paralympic Trials,1500m,Silver,National,2023
M001222,A0329,Masa Cup,800m,Silver,Local,2020
M001223,A0329,Regional Open,800m,Silver,Regional,2020
M001224,A0329,Kalahari Sprint Classic,200m,Silver,Regional,2023
M001225,A0330,Kalahari Sprint Classic,400m,Gold,Regional,2020
M001226,A0330,Botswana Nationals,400m,Gold,National,2020
M001227,A0330,Regional Open,400m,Silver,Regional,2020
M001228,A0330,Kalahari Sprint Classic,400m,Bronze,Regional,2021
M001229,A0330,Southern Africa Games,400m,Bronze,Continental,2021
M001230,A0330,Southern Africa Games,400m,Bronze,Continental,2021
M001231,A0330,National Championships,400m,Silver,National,2023
M001232,A0330,National Championships,400m,Silver,National,2024
M001233,A0331,Botswana Nationals,400m,Gold,National,2020
M001234,A0331,Kalahari Sprint Classic,400m,Silver,Regional,2020
M001235,A0331,National Championships,400m,Bronze,National,2020
M001236,A0331,National Championships,400m,Bronze,National,2020
M001237,A0331,Southern Africa Games,1500m,Silver,Continental,2022
M001238,A0331,Paralympic Trials,400m,Silver,National,2022
M001239,A0331,Kalahari Sprint Classic,400m,Gold,Regional,2022
M001240,A0332,Masa Cup,800m,Silver,Local,2022
M001241,A0332,Masa Cup,800m,Silver,Local,2024
M001242,A0332,Regional Open,400m,Silver,Regional,2024
M001243,A0333,Kalahari Sprint Classic,400m,Bronze,Regional,2021
M001244,A0333,Paralympic Trials,400m,Gold,National,2022
M001245,A0333,Paralympic Trials,200m,Silver,National,2023
M001246,A0334,Botswana Nationals,100m,Silver,National,2020
M001247,A0334,Southern Africa Games,100m,Gold,Continental,2021
M001248,A0334,Botswana Nationals,800m,Gold,National,2022
M001249,A0334,Paralympic Trials,800m,Gold,National,2022
M001250,A0334,Southern Africa Games,100m,Gold,Continental,2023
M001251,A0334,National Championships,800m,Gold,National,2023
M001252,A0334,Paralympic Trials,100m,Bronze,National,2023
M001253,A0334,Botswana Nationals,800m,Gold,National,2023
M001254,A0334,Continental Series,100m,Silver,Continental,2023
M001255,A0334,Continental Series,100m,Bronze,Continental,2024
M001256,A0334,Southern Africa Games,100m,Silver,Continental,2024
M001257,A0336,Kalahari Sprint Classic,800m,Gold,Regional,2020
M001258,A0336,Paralympic Trials,800m,Bronze,National,2020
M001259,A0336,Southern Africa Games,800m,Silver,Continental,2021
M001260,A0336,Southern Africa Games,800m,Bronze,Continental,2022
M001261,A0336,Paralympic Trials,800m,Bronze,National,2023
M001262,A0336,Paralympic Trials,100m,Bronze,National,2024
M001263,A0336,Kalahari Sprint Classic,800m,Gold,Regional,2024
M001264,A0336,National Championships,800m,Gold,National,2024
M001265,A0336,Regional Open,100m,Silver,Regional,2024
M001266,A0337,Independence Meet,400m,Silver,Local,2020
M001267,A0338,Regional Open,100m,Gold,Regional,2021
M001268,A0338,Southern Africa Games,100m,Silver,Continental,2022
M001269,A0338,National Championships,100m,Gold,National,2024
M001270,A0339,Botswana Nationals,800m,Bronze,National,2020
M001271,A0339,Masa Cup,800m,Bronze,Local,2022
M001272,A0339,National Championships,800m,Silver,National,2023
M001273,A0339,Regional Open,800m,Silver,Regional,2024
M001274,A0340,Paralympic Trials,100m,Gold,National,2021
M001275,A0340,National Championships,100m,Bronze,National,2023
M001276,A0341,Masa Cup,100m,Silver,Local,2022
M001277,A0341,Independence Meet,1500m,Bronze,Local,2022
M001278,A0341,Kalahari Sprint Classic,1500m,Bronze,Regional,2023
M001279,A0341,Kalahari Sprint Classic,1500m,Bronze,Regional,2024
M001280,A0342,Paralympic Trials,800m,Gold,National,2020
M001281,A0342,Botswana Nationals,800m,Gold,National,2020
